Date,Open,High,Low,Close,Volume
2021.04.16,63391.21,63792.77,59961.99,61839.92,29932
2021.04.17,61849.91,62400.3,59616.37,60736.13,15312
2021.04.18,60732.14,60861,50548.35,56089.25,42428
2021.04.19,56095.24,57527.99,54216.31,56121.22,37410
2021.04.20,56117.22,57050.19,53356.26,56711.57,40883
2021.04.21,56707.57,57089.01,54260.27,54932.52,35013
2021.04.22,54932.52,55445.96,51452.36,51553.25,44126
2021.04.23,51562.24,52211.52,47528.68,50526.38,56576
2021.04.24,50512.39,51163.68,48818.26,50948.91,48424
2021.04.25,50951.91,51030.82,48042.11,48120.03,40833
2021.04.26,48154.99,54346.17,47085.17,53226.4,49414
2021.04.27,53226.4,55293.13,52670.02,55090.35,41517
2021.04.28,55098.34,56378.93,53877.69,54392.12,39184
2021.04.29,54387.13,55177.26,52339.38,52946.71,39240
2021.04.30,52949.71,57209.02,52786.89,56712.56,35328
2021.05.01,56720.56,58280.84,56625.66,57569.62,34108
2021.05.02,57570.62,57863.3,56008.34,56956.3,31926
2021.05.03,56969.28,58899.16,56204.13,56726.55,32254
2021.05.04,56720.56,57380.83,53282.34,54700.78,42500
2021.05.05,54696.78,57853.31,52921.74,56885.38,40926
2021.05.06,56866.4,58297.82,55247.18,55876.49,33790
2021.05.07,55875.49,58589.5,55259.17,57594.6,37914
2021.05.08,57600.59,59403.6,56757.52,58887.17,42106
2021.05.09,58889.17,59188.84,56213.11,57838.33,32465
2021.05.10,57845.32,59543.45,53809.76,55247.18,32256
2021.05.11,55226.21,56929.01,54123.42,56807.47,39341
2021.05.12,56807.47,57955.2,53499.1,54409.11,35472
2021.05.13,54419.1,54766.01,46575.73,49314.72,53774
2021.05.14,49313.72,51474.33,48454.66,49219.82,42498
2021.05.15,49884.08,50700.19,46960.3,48259.87,41602
2021.05.16,48258.87,49835.14,43992.57,44221.33,47456
2021.05.17,44178.37,46757.53,42110.64,44737.76,56908
2021.05.18,44736.76,45767.62,42417.31,43262.38,54663
2021.05.19,43268.37,43544.07,29651.36,38284.86,63821
2021.05.20,38285.86,42272.47,34967.51,40004.97,61234
2021.05.21,40002.97,42238.5,35249.21,35295.16,59419
2021.05.22,37366.87,38887.19,35352.09,38104.06,54474
2021.05.23,38107.05,38428.7,31200.64,33698.9,62555
2021.05.24,33709.88,39887.08,33667.93,38963.1,60163
2021.05.25,39023.03,39790.18,36464.85,37607.59,58775
2021.05.26,37604.6,40836.03,37429.79,38754.33,46808
2021.05.27,38754.33,40427.48,37185.05,38459.65,42973
2021.05.28,38456.66,39165.88,35105.34,35160.29,50695
2021.05.29,35625.77,37292.93,33588.01,34210.33,46192
2021.05.30,34211.33,36381.94,33335.29,36010.35,45668
2021.05.31,36006.36,37406.81,34127.42,36649.65,44723
2021.06.01,36651.64,37850.32,35642.75,36285.05,44648
